Licensee Name,DBA,License Number,License Type,Street Address,City,State,Zip,Latitude,Longitude
LA JAULA SPORTS BAR AND GRILL LLC,LA JAULA SPORTS BAR AND GRILL,03-10416,Hotel & Restaurant (city,1750 WEST MISSISSIPPI AVENUE,Denver,CO,80223,39.69640699,-105.007726012
MINI MART INC,LOAF N' JUG #750813,04-01559,Fermented Malt Beverage and Wine (city,7600 WESTGATE DRIVE,Windsor,CO,80550,40.478932,-104.987806
PARK BURGER HIGHLANDS INC,PARK BURGER HIGHLANDS,42-88274-0000,Takeout & Delivery Permit,2643 W 32ND AVE,Denver,CO,80211,39.76221302,-105.019979014
COSTCO WHOLESALE CORPORATION,MARY-LYNN DALTON,03-19142,Manager Permit (LLDS,8938 WEST RADCLIFF DRIVE,Littleton,CO,80123,39.63703399,-105.097578003
"FRANKIE, INC.",BBC WINE,03-19491,Beer & Wine (city,241 EAST 1ST STREET,Ault,CO,80610,40.582786,-104.729572974
MINI MART INC,LOAF N JUG #750824,04-01505,Fermented Malt Beverage and Wine(county,601 GREENFIELD COURT,Fort Collins,CO,80524,40.580607,-105.01595503
SBS ENTERPRISE LLC,FOOD MART,04-01798,Fermented Malt Beverage and Wine (city,3860 PEORIA STREET,Denver,CO,80239,39.770199,-104.846546038
QUIKTRIP CORPORATION,QUIKTRIP #4229,04-01972,Fermented Malt Beverage and Wine (city,5201 WEST MISSISSIPPI AVENUE,Lakewood,CO,80226,39.69703001,-105.053624979
LEEVERS SUPERMARKETS INC,SAVE-A-LOT GREELEY,04-00705,Fermented Malt Beverage and Wine (city,816 25TH STREET,Greeley,CO,80631,40.396657,-104.69236403
ZIA TAQUERIA LTD,ZIA TAQUERIA,07-79668-0000,Hotel & Restaurant (city,2977 Main Avenue Suite C,Durango,CO,813014268,37.29735798,-107.872547027
7-ELEVEN INC,7-ELEVEN STORE 39622H,04-01341,Fermented Malt Beverage and Wine (city,15296 EAST HAMPDEN AVENUE,Aurora,CO,80014,39.65125405,-104.810492371
KEENESBURG POST 180 THE AMERICAN LEGION,AMERICAN LEGION POST 180,12-57321-0000,Tavern (city,595 RAILROAD AVE,Keenesburg,CO,80643,40.11236698,-104.509713978
PORTFOLIO GALLERY LLC,PORTFOLIO GALLERY,03-11970,Retail Establishment Permit,226 SOUTH MAIN STREET  UNIT BIC-1,Breckenridge,CO,80424,39.47983102,-106.045532024
BAGABAGEL & DELI INC,DC'S ON B STREET,07-39746-0000,Hotel & Restaurant (city,115 WEST B STREET,Pueblo,CO,810033400,38.26302598,-104.61635601
APPLE SEVEN HOSPITALITY MNGNTINC,HILTON GARDEN INN HIGHLANDS RANCH,07-93758-0000,Hotel & Restaurant (county,1050 PLAZA DR,Highlands Ranch,CO,80126,39.55653498,-104.999067003
TARGET CORPORATION,TANNER W WOLFF,03-20790,Manager Permit (LLDS,7520 SOUTH EMERSON STREET,Centennial,CO,80122,39.57992992,-104.977977213
2 HAWK LLC,2 HAWK VINEYARD AND WINERY,03-07712,Winery Direct Shipper's Permit,2335 NORTH PHOENIX ROAD,Medford,OR,97504,42.297023,-122.806920029
SGN INC & 7-ELEVEN INC,7-ELEVEN STORE 32923B,04-01966,Fermented Malt Beverage and Wine (city,16981 LINCOLN AVENUE,Parker,CO,80134,39.534628,-104.791984039
FOLEY FAMILY WINES INC,FOLEY JOHNSON,03-01463,Winery Direct Shipper's Permit,8350 ST HELENA HWY,Rutherford,CA,94573,38.45357099,-122.408945003
EAGLE RIVER DISTILLING LLC,EAGLE RIVER WHISKY,03-17491,Wholesale (vinous & spirituous,"23698 US-24, UNIT E1",Minturn,CO,81645,39.59475212,-106.434049586
PAVILIME LLC,LIME AN AMERICAN CANTINA,03-00192,Hotel & Restaurant (city,500 16TH ST #322,Denver,CO,80202,39.743478,-104.99046298
SALIDA BREWING COMPANY INC,SALIDA BREWING COMPANY,03-16378,Brew Pub (city,228 NORTH F STREET SUITE 200,Salida,CO,81201,38.53769001,-105.990671965
TEO TAMALE LLC,TEOCALLI TAMALE,03-18735,Hotel & Restaurant (city,311  1/2 ELK AVENUE UNIT 1E,Crested Butte,CO,81224,38.86994002,-106.985244037
SHERARO LLC,SOB LIQUORS,03-16561,Retail Liquor Store (city,1705 WADSWORTH BOULEVARD,Lakewood,CO,80214,39.744213,-105.081822958
HA SEUNG MIN,CHAMBERS POINT LIQUORS,43-01851-0000,Retail Liquor Store (city,1650 SOUTH CHAMBERS ROAD,Aurora,CO,800175023,39.68625173,-104.809340949
KITCHEN CAFE LLC THE,THE KITCHEN,41-62638-0001,Hotel & Restaurant (city,1039 PEARL STREET,Boulder,CO,803025110,40.01783202,-105.281712993
"MINI MART, INC.",LOAF N' JUG #750821,04-01540,Fermented Malt Beverage and Wine(county,92 POUDRE CANYON ROAD,Bellvue,CO,80512,40.66416598,-105.190138018
Erie Social Club,ERIE SOCIAL CLUB,03-14709,Takeout & Delivery Permit,"105 WELLS STREET, UNIT 120",Erie,CO,80516,40.05044601,-105.046676968
H & H ENTERPRISES LLC,AUNT HELEN'S COFFEE HOUSE,03-18427,Tavern (city,800 8TH AVENUE UNIT 101,Greeley,CO,80631,40.42458399,-104.690369975
EASTBRIDGE HOSPITALITY LLC,CHOLON MODERN ASIAN - STAPLETON,03-07548,Hotel & Restaurant (city,10195 EAST 29TH DRIVE SUITE 140,Denver,CO,80238,39.75942302,-104.868746011
Carm & Gia Metropolitan,CARM & GIA METROPOLITAN,03-11787,Takeout & Delivery Permit,9598 EAST MONTVIEW BOULEVARD,Aurora,CO,80010,39.74716293,-104.876731534
"MG SERVICES, INC",URBAN SOMBRERO #16375,03-20865,Takeout & Delivery Permit,16375 EAST 40TH AVENUE,Denver,CO,80239,39.77328501,-104.796360985
AGFINITY INC,AGFINITY,04-01456,Fermented Malt Beverage and Wine (city,1607 2ND AVENUE,Greeley,CO,80634,40.41292199,-104.680780994
JKQ CONSOLIDATED LLC,JKQ BBQ & GRILL,03-16400,Hotel & Restaurant (city,200 GREGORY STREET,Black Hawk,CO,80422,39.801313,-105.494781977
HAWKS ENTERPRISES LLC,CHELSEY'S WINGS BURGERS AND SPIRITS,03-13176,Hotel & Restaurant (city,727 NORTH MAIN STREET,Pueblo,CO,81003,38.27417601,-104.609021006
AKI LLC,ALPINIST & THE GOAT THE,03-03040,Tavern (city,204 W. COLORADO AVE,Telluride,CO,81435,37.93720401,-107.812078971
DEVIL'S CRAFT LLC,DEVIL'S CRAFT,03-14499,Hotel & Restaurant (city,"63 COOPER CREEK WAY, SUITE 133",Winter Park,CO,80482,39.917685,-105.785640974
LA FAMILIA MEXICAN RESTAURANT CORP,LA FAMILIA MEXICAN RESTAURANT,03-18946,Hotel & Restaurant (city,365 NORTH GRAND MESA DRIVE,Cedaredge,CO,81413,38.90405701,-107.923598014
FANCY PANSY LLC,FANCY PANSY,03-09302,Beer & Wine (city,51 BEAVER CREEK PLACE UNIT #2,Avon,CO,81620,39.634657,-106.518598006
KIDANE ABRAHA CORPORATION,ARAPAHOE VILLAGE LIQUORS,03-01185,Retail Liquor Store (city,5070 EAST ARAPAHOE ROAD #A2,Centennial,CO,80122,39.59403424,-104.928493223
MAVERIK INC #480,MAVERIK INC #480,04-00096,Fermented Malt Beverage and Wine (city,1206 MAIN ST,Fort Morgan,CO,80701,40.26160899,-103.800582003
SALIDA DISTILLERY LLC,SALIDA DISTILLERY,03-18605,Wholesale Beer (malt liquor,110 EAST 15TH STREET,Salida,CO,81201,38.52452699,-106.002825976
STONECUSHION INC,SODA ROCK WINERY,03-04823,Winery Direct Shipper's Permit,8015 HIGHWAY 128,Healdsburg,CA,95448,38.66064901,-122.799872022
BLANTON'S MOUNTAIN MART INC,WALDEN SINCLAIR,23-93759-0000,Fermented Malt Beverage and Wine (city,609 MAIN STREET,Walden,CO,80480,40.727676,-106.281780995
"BLAIR VINEYARDS, LLC",BLAIR VINEYARDS LLC,03-01181,Winery Direct Shipper's Permit,38582 HWY 101 SOUTH,Soledad,CA,93960,36.36038999,-121.279493021
FORT COLLINS CHURRASCO COMPANY LLC,RODIZIO GRILL,03-18747,Hotel & Restaurant / Optional (city,200 JEFFERSON STREET,Fort Collins,CO,80524,40.59013198,-105.075380963
KATE'S BISTRO LLC,JAKE'S BREW BAR,15-66471-0002,Tavern (city,2530 WEST MAIN STREET,Littleton,CO,80120,39.61354559,-105.017728473
LEE SANG MU,OLD GOLDEN ROAD LIQUORS,06-14227-0000,Retail Liquor Store (county,15750 SOUTH GOLDEN ROAD,Golden,CO,804013948,39.733513,-105.176728985
PICKUP'S PIZZA LLC,PICKUP'S PIZZA LLC,03-11609,Takeout & Delivery Permit,"422 MCINTIRE, SUITE 1",Eagle,CO,81631,39.65265098,-106.83114501
"TRAIL RIDGE MARINA, LLC",TRAIL RIDGE MARINA,03-07943,Tavern (county,12634 US HIGHWAY 34,Grand Lake,CO,80447,40.22477798,-105.853356023
FIRST LIQUORS LLC,FIRST LIQUORS,03-16241,Retail Liquor Store (city,2960 SOUTH FEDERAL BLVD UNIT 6&7,Denver,CO,80211,39.66242801,-105.024611021
CONSTELLATION BRANDS US OPERATIONS INC,ROBERT MONDAVI WINERY,15-55219-0010,Winery Direct Shipper's Permit,7801 ST HELENA HIGHWAY,Oakville,CA,94562,38.44183601,-122.407360221
DOMINGO SAUSAGE COMPANY LLC,BODEGON BY DOMINGO SAUSAGE CO,03-20868,Hotel & Restaurant (city,46 NORTH 4TH STREET,Carbondale,CO,81623,39.400905,-107.211080001
MOS BAHRI INC 7-ELEVEN INC,7 ELEVEN STORE 39211A,42-65765-0000,Fermented Malt Beverage and Wine (city,810 N WILCOX,Castle Rock,CO,80104,39.37873499,-104.859609988
SCOOPS UPTOWN LLC,SCOOPS,03-10063,Beer & Wine (city,1426 EAST 22ND AVENUE,Denver,CO,80205,39.749195,-104.969991019
EL CAMARON LOCO INC,EL CAMARON LOCO,41-96990-0002,Takeout & Delivery Permit,6740 EAST 72ND AVENUE,Commerce City,CO,800222102,39.827011,-104.908816034
PLEASANT VIEW LIQUOR LLC,PLEASANT VIEW LIQUOR LLC,03-20660,Retail Liquor Store (county,26060 HIGHWAY 491,Pleasant View,CO,81331,37.589386,-108.765257014
ARSEMA RETAIL INC & 7-ELEVEN INC,7-ELEVEN STORE 15754A,04-00075,Fermented Malt Beverage and Wine (city,4770 W COLFAX AVE,Denver,CO,80204,39.740034,-105.048327029
"DL SIBLINGS, INC",MEADOWS MARKET,03-20380,Retail Liquor Store (county,7100 SUNCOUNTRY DRIVE,Elizabeth,CO,80107,39.50547901,-104.531668026
SK FOOD & DRINKS INC,CORNER MARKET,04-01763,Fermented Malt Beverage and Wine (city,7680 WEST 88TH AVENUE,Westminster,CO,80005,39.85602399,-105.082915959
H & N ENTERPRISE INC,TOTAL WINE SPIRITS BEER & MORE,03-16358,Retail Liquor Store (city,5136 SOUTH WADSWORTH BOULEVARD,Lakewood,CO,80123,39.623001,-105.08843804
MANSPRING HOSPITALITY LLC,ROOM FOR MILLY,03-18627,Tavern (city,1615 PLATTE STREET UNIT 135 & 145,Denver,CO,80202,39.75797198,-105.007739004
BRINKER RESTAURANT CORPORATION,CHILI'S GRILL & BAR,10-82383-0033,Hotel & Restaurant (city,3625 SOUTH MONACO STREET,Denver,CO,802311230,39.65029142,-104.913188325
BOULDER'S TAVERN LLC,BLUFF STREET BAR AND BILLIARDS,03-09420,Tavern (city,2690 28TH STREET  SUITE E,Boulder,CO,80301,40.027068,-105.257534974
KUM & GO LC,MAVERIK 5340,04-01275,Fermented Malt Beverage and Wine (city,450 SOUTH SANTA FE DRIVE,Denver,CO,80223,39.70869498,-104.995448033
CHILI'S GRILL & BAR,CHILI'S GRILL & BAR,10-82383-0055,Takeout & Delivery Permit,10460 PARK MEADOWS DRIVE,Lone Tree,CO,801245519,39.53691002,-104.874090983
"MASSA'S PAVO REAL CELLARS, LLC",MASSA'S PAVO REAL CELLARS LLC,03-10114,Winery Direct Shipper's Permit,18820 CACHAGUA ROAD,Carmel Valley,CA,93924,36.39890383,-121.652094028
I BAR INC,I BAR RANCH,03-01405,Lodging & Entertainment (City,850 COUNTY RD 49,Gunnison,CO,81230,38.54144401,-106.903651993
INTERNATIONAL BRANDS & BEVERAGES LLC,INTERNATIONAL BRANDS & BEVERAGES LLC,03-18542,Importer (vinous & spirituous,15679 NORTH 83RD WAY SUITE D8,Scottsdale,AZ,85260,33.62745001,-111.901706006
CROOKED BEECH BREWING LLC,CROOKED BEECH BREWING LLC,03-18411,Wholesale Beer (malt liquor,3121 NORTH GARFIELD AVENUE,Loveland,CO,80538,40.42429599,-105.079291959
ALADDIN FOOD MANAGEMENT SERVICES,ALADDIN FOOD MANAGEMENT SERVICES,03-14379,Related Facility Permit (State,2200 BONFORTE BOULEVARD,Pueblo,CO,81001,38.30919698,-104.577673024
BELMAR CROSSING LIQUORS LLC,BELMAR CROSSING LIQUORS,03-11519,Retail Liquor Store (city,7111 WEST ALAMEDA AVENUE #E,Lakewood,CO,80226,39.71201401,-105.075780025
KRABLOONIK INC,KRABLOONIK FINE DINING,03-04142,Hotel & Restaurant (city,4250 DIVIDE RD,Snowmass Village,CO,81615,39.20617499,-106.970743009
"LAS ANIMAS GRILL, LLC",LAS ANIMAS GRILL,03-09887,Hotel & Restaurant (city,341 NORTH COMMERCIAL STREET,Trinidad,CO,81082,37.17071099,-104.507501994
BRYAN BABCOCK,"BABCOCK ENTERPRISES, INC",03-11460,Winery Direct Shipper's Permit,5175 E HIGHWAY 246,Lompoc,CA,93436,34.66750501,-120.334810037
CAYUSE WINERY LLC,CHRISTOPHE BARON,26-75558-0000,Winery Direct Shipper's Permit,53863 HWY 332/SUNNYSIDE RD,Milton-Freewater,OR,97862,45.96382899,-118.424794999
COSTCO WHOLESALE CORPORATION,SHAUN BALDWIN,03-19155,Manager Permit (LLDS,315 CHATFIELD LANE,Gypsum,CO,81637,39.61910199,-106.954870032
